tag_row;tag_code
Provision1;948
Provisional;949
Provisionand;948
Provisionfor;948
Provisionof;948
Provisions;948
Provisionsfor;948
Proxy;950
Prpoerty;939
Public;951
Publically;951
Publicand;951
Publisher;952
Publishing;952
Purcchases;953
Purchase;953
Purchase1;953
Purchaseand;953
Purchased;954
Purchased1;954
Purchasedand;954
Purchasedat;954
Purchasedin;954
Purchasedunder;954
Purchasefor;953
Purchaseof;953
Purchaser;955
Purchases;953
Purchasesof;953
Purchasing;953
Purpose;956
Purposes;956
Pursuant;957
Pursuantto;957
Put;958
Puttable;958
Q3fiscalyear2016;1310
Qualified;959
Qualifying;960
Qualifyingas;960
Railcar;961
Railcars;961
Raise;962
Raises;962
Raising;962
Rata;963
Rate;964
Rates;964
Rborrowings;127
Reacquired;965
Reacquisition;965
Readily;966
Real;967
Realated;1014
Realizable;968
Realization;969
Realized;969
Realizedand;969
Realizedfrom;969
Realizedupon;969
Reallowancenonrelatedproducts;51
Reallowancerelatedproducts;51
Reallowances;51
Rebate;970
Rebates;970
Rebatesand;970
Recall;971
Recalled;971
Recapitalization;150
Receipt;972
Receiptof;972
Receipts;972
Receiptsto;972
Receivabl;973
Receivable;973
Receivable1;973
Receivableaccountspayableandaccruedliabilitiestotal;676
Receivableand;973
Receivablefor;973
Receivablefrom;973
Receivablefromnonrelatedparties;973
Receivablefromrelatedparties;973
Receivablel;973
Receivablenet;973
Receivableon;973
Receivableor;973
Receivables;973
Receivables1;973
Receivablesand;973
Receivablesandother;973
Receivablesfrom;973
Receivablesor;973
Receivablessubcontractor;973
Receivablestoan;973
Receivablesunder;973
Receivalbles;973
Receive;974
Received;974
Received1;974
Receivedas;974
Receivedfor;974
Receivedfrom;974
Receivedfroma;974
Receivedfromthe;974
Receivedin;974
Receivedon;974
Receivership;974
Recievables;973
Recieved;974
Recivable;973
Recived;974
Reclaim;184
Reclass;976
Reclassed;976
Reclassfrom;976
Reclassifcation;975
Reclassification;975
Reclassificationbefore;975
Reclassificationfrom;975
Reclassificationof;975
Reclassificationourof;975
Reclassifications;975
Reclassificationsnetoftax;975
Reclassificationto;975
Reclassified;976
Reclassifiedfrom;976
Reclassifiedto;976
Reclassof;976
Recognition;977
Recognitionas;977
Recognitionof;977
Recognized;978
Recognized1;978
Recognizedafter;978
Recognizedfor;978
Recognizedin;978
Recognizedon;978
Recognzied;978
Reconcile;980
Reconciliation;979
Reconciliations;979
Reconciling;980
Record;981
Recorded;982
Recordedas;982
Recording;981
Records;981
Recourse;983
Recoverability;986
Recoverable;984
Recoverables;984
Recoverables1;984
Recovered;985
Recoveries;986
Recoveriesfor;986
Recovery;986
Recoveryof;986
Recurring;987
Redeem;988
Redeemable;989
Redeemableand;989
Redeemed;990
Redeemedor;990
Redeeming;988
Redemption;991
Redemptionof;991
Redemptions;991
Redemptionsof;991
Redemptionsor;991
Redemptionto;991
Redemtion;991
Redevelop;322
Redevelopment;322
Reduce;992
Reduction;993
Reductionin;993
Reductionof;993
Reductions;993
Refinance;995
Refinanced;994
Refinancing;995
Refinancings;995
Reflect;996
Reflected;996
Reflectedas;996
Refund;997
Refundable;998
Refunded;999
Refundof;997
Refundon;997
Refunds;997
Refundsfrom;997
Registered;1000
Registrar;1001
Registration;1001
Registrations;1001
Regular;1002
Regulated;1003
Regulation;1004
Regulations;1004
Regulations1;1004
Regulator;1005
Regulatory;1006
Regulatorye;1006
Reimbursable;1007
Reimbursables;1007
Reimbursed;1008
Reimbursedshareofcosts;1008
Reimbursement;1009
Reimbursementof;1009
Reimbursementon;1009
Reimbursements;1009
Reinsurance;1010
Reinsuranceexpenses;441
Reinsured;1010
Reinsurer;1010
Reinsurers;1010
Reinvested;1011
Reinvestment;1011
Reissuance;1012
Reissued;1013
Relaed;1014
Relate;1014
Related;1014
Relatedand;1014
Relatedparty;1014
Relatedto;1014
Relatedtothe;1014
Relating;1014
Relatingto;1014
Relation;1015
Relations;1015
Relationship;1015
Relationships;1015
Release;1016
Released;1017
Releaseds;1017
Releaseforcapitalexpenditures;1016
Releaseof;1016
Releases;1016
Releated;1014
Releted;1014
Relocation;1018
Remainder;1019
Remaining;1020
Remarketing;730
Remeasuement;740
Remeasurement;740
Remeasurementand;740
Remeasurementof;740
Remittance;1021
Remittances;1021
Remitted;1021
Removal;1022
Removalof;1022
Remuneration;1023
Rendered;1024
Renewable;1025
Renewal;1026
Rent;1027
Rental;1027
Rentaland;1027
Rentals;1027
Rentals1;1027
Rentalsand;1027
Rentand;1027
Rented;1027
Rentpayables;847
Rentrelated;1027
Rents;1027
Rentsand;1027
Reorganisation;1028
Reorganization;1028
Reorganizationand;1028
Reorgnizaion;1028
Reoveries;986
Repaid;1031
Repair;1029
Repairs;1029
Repairsand;1029
Repayable;1030
Repayament;1031
Repayement;1031
Repayment;1031
Repaymentand;1031
Repaymentfrom;1031
Repaymentof;1031
Repayments;1031
Repaymentsand;1031
Repaymentsfor;1031
Repaymentsfrom;1031
Repaymentsof;1031
Repaymentson;1031
Repaymentsto;1031
Replace;1032
Replacement;1032
Replacements;1032
Repo;1033
Reported;1034
Reporting;1035
Repositioning;1036
Repositioningexpenses;441
Repossess;1037
Repossessed;1037
Repossession;1038
Repossessions;1038
Representation;1039
Representatives;1040
Represented;1041
Representing;1042
Represents;1041
Repriced;1043
Repricing;1043
Repurchase;1044
Repurchaseand;1044
Repurchased;1045
Repurchasedfor;1045
Repurchasedin;1045
Repurchaseof;1044
Repurchases;1044
Repurchasesof;1044
Required;1046
Requirement;1046
Requirements;1046
Requisite;1047
Resale;1048
Resales;1048
Research;1049
Researchand;1049
Resell;1050
Reselland;1050
Reseller;1051
Reservation;1052
Reserve;1053
Reserveand;1053
Reserved;1054
Reservefor;1053
Reserveof;1053
Reserves;1053
Reservesand;1053
Reservesfor;1053
Reserveswith;1053
Resident;1055
Residents;1055
Residual;1056
Residuals;1056
Resolution;1057
Resolutions;1057
Resource;1058
Resources;1058
Respect;1059
Respectively;1060
Respectively.;1060
Responsibility;1061
Restatement;1062
Restatementand;1062
Restatements;1062
Resticted;1063
Restricked;1063
Restricted;1063
Restrictedand;1063
Restrictedcashrelatedparty;1063
Restrictedto;1063
Restriction;1064
Restrictions;1064
Restrited;1063
Restructure;1065
Restructured;1065
Restructuring;1066
Restructuringand;1066
Restructuringof;1066
Restructurings;1066
Resturctering;1066
Result;1067
Resulted;1068
Resulting;1068
Resultingfrom;1068
Results;1067
Retained;1069
Retainer;1070
Retention;1071
Retentions;1071
Retire;1072
Retired;1073
Retirement;1074
Retirementof;1074
Retirementor;1074
Retirements;1074
Returement;1074
Return;1075
Returned;1076
Returnedfrom;1076
Returnof;1075
Returnon;1075
Returns;1075
Revaluation;1077
Revaluationdueto;1077
Revaluationof;1077
Revenu;1078
Revenue;1078
Revenue1;1078
Revenueand;1078
Revenueasa;1078
Revenuefrom;1078
Revenuenet;1078
Revenuenonrelatedproducts;1078
Revenueon;1078
Revenuerelatedproducts;1078
Revenues;1078
Revenues1;1078
Revenuesbefore;1078
Revenuesfrom;1078
Revenuesnet;1078
Reversal;1079
Reversalof;1079
Reversals;1079
Reverse;1080
Reversed;1081
Reverseforward;1080
Reversion;1079
Revertedtothe;1080
Revision;1082
Revisionof;1082
Revisions;1082
Revisionsto;1082
Revolver;1083
Revolving;1083
Reward;1084
Rewards;1084
Right;1085
Rightofuse;1085
Rights;1085
Rights2;1085
Rightsand;1085
Rightsliability;676
Risk;1086
Risking;1086
Risks;1086
Roll;1087
Rolling;1088
Rolls;1087
Rounding;1089
Route;1090
Routes;1090
Royalties;1091
Royaltiesand;1091
Royalty;1091
Royaltyrights;1091
Royaly;1091
Runoff;1092
S.transitiontaxliability;676
Salaries;1093
Salary;1093
Sale;1094
Sale1;1094
Saleand;1094
Salebeforetax;1094
Salefarm;1094
Salematurity;1094
Saleof;1094
Saleofa;1094
Saleor;1094
Saleries;1093
Sales;1094
Salesand;1094
Salesfrom;1094
Salesof;1094
Salesoflonglivedassetsandinvestment;1094
Saleto;1094
Salewritedown;1307
Salse;1094
Satisfaction;1095
Satisfactionof;1095
Satisfied;1095
Satisfy;1095
Saving;1096
Savingand;1096
Savings;1096
Savingsdeposits;308
Schedule;1097
Scheduled;1097
Second;1098
Secondary;1099
Secure;1100
Secured;1101
Securedand;1101
Securing;1100
Securites;1104
Securities;1104
Securities1;1104
Securitiesand;1104
Securitiesat;1104
Securitiesbefore;1104
Securitiesbeforetax;1104
Securitiesby;1104
Securitiesfor;1104
Securitiesin;1104
Securitiesnetoftax;1104
Securitiesof;1104
Securitiest;1104
Securitiesto;1104
Securitiestobeforetax;1104
Securitization;1102
Securitizations;1102
Securitized;1103
Security;1104
Securrities;1104
Securties;1104
Segment;1105
Segmentand;1105
Segments;1105
Segregated;1106
Segregatedunder;1106
Seller;1107
Sellerfor;1107
Sellers;1107
Sellersof;1107
Selling;1108
Senior;1109
Senor;1109
Separate;1110
Separately;1110
Separation;1111
Separationand;1111
Separationasset;75
Separationfrom;1111
Series;1112
Series.001;1112
Series0.001;1112
Series1;1112
Series100;1112
Series2;1112
Seriesa;1112
Serives;1112
Service;1113
Serviceand;1113
Serviced;1114
Servicer;1115
Servicerelated;1113
Servicers;1115
Services;1113
Services1;1113
Services3;1113
Servicesand;1113
Servicesnonrelatedproducts;1113
Servicesor;1113
Servicesrelatedproducts;1113
Servicing;1116
Servicingand;1116
Servicingexpense;441
Setteled;1117
Settle;1117
Settleable;1118
Settled;1117
Settledin;1117
Settlement;1118
Settlement1;1118
Settlementand;1118
Settlementbefore;1118
Settlementof;1118
Settlementon;1118
Settlements;1118
Settlements1;1118
Settlementsand;1118
Settlementsbefore;1118
Settlementsof;1118
Settlementson;1118
Settlementsto;1118
Settlementswith;1118
Settlementwith;1118
Settlment;1118
Settlments;1118
Severance;1119
Severanceand;1119
Severanceandrelated;1119
Severancenoncurrent;1119
Severances;1119
Share;1120
Share-;1120
Sharebased;1121
Sharebasedcomp;1121
Shared;1122
Shareholder;1123
Shareholder1;1123
Shareholders;1123
Shareholdersand;1123
Shareholding;1123
Shareof;1120
Shareowner;1123
Shares;1120
Shares1;1120
Shares2010;1120
Shares2011;1120
Sharesand;1120
Sharesholder;1123
Sharesnot;1120
Sharesof;1120
Sharesor;1120
Sharesto;1120
Sharesunder;1120
Sharing;1124
Sheet;1125
Shipment;1126
Shipments;1126
Shipped;1127
Shipping;1126
Short;1128
Short-;1128
Shortat;1128
Shortfall;1129
Shortfallfrom;1129
Shortfalls;1129
Shortterm;1130
Shorttermand;1130
Shutdown;1131
Significant;1132
Similar;1133
Site;1134
Slow;1135
Small;1136
Sock;1163
Software;1137
Softwareand;1137
Softwareasa;1137
Sold;1138
Sold1;1138
Soldand;1138
Soldasa;1138
Soldbefore;1138
Soldto;1138
Soldunder;1138
Solicitation;1139
Solution;1140
Solutionand;1140
Solutions;1140
Special;1141
Specialitem;643
Specialties;1142
Specialty;1142
Specific;1143
Specified;1144
Spending;1145
Spent;1146
Spin;1147
Spinoff;1148
Sponsor;1149
Sponsored;1150
Sponsoredby;1150
Sponsors;1149
Sponsorship;1151
Sponsorships;1151
Stage;1152
Stage1;1152
Standard;1153
Standardized;1153
Standards;1153
Standby;1154
Start;1155
Starting;1155
Startrak;1155
State;1156
Stated;1157
Statement;1158
Statements;1158
States;1156
Stationery;1159
Status;1160
Statute;1161
Statutory;1161
Staxprovision;948
Stck;1163
Step;1162
Stock;1163
Stock.;1163
Stock.00001;1163
Stock.001;1163
Stock.01;1163
Stock0.001;1163
Stock0.01;1163
Stock0.60;1163
Stock1;1163
Stock10;1163
Stock2;1163
Stock3;1163
Stock4;1163
Stockand;1163
Stockbased;1164
Stockfor;1163
Stockholder;1165
Stockholders;1165
Stockholders1;1165
Stockholdersbasicsubsequentto;1165
Stockin;1163
Stockincluding;1163
Stockolders;1165
Stockoptions;804
Stockpile;1166
Stockpiles;1166
Stockpileson;1166
Stockpre;1163
Stocks;1163
Stocksubscribed1;1163
Stockto;1163
Stocktobe;1163
Stockwith;1163
Storage;1167
Strip;1168
Strips;1168
Structure;1169
Structured;1170
Structures;1169
Structuring;1171
Sub;1172
Subject;1173
Subjectto;1173
Subjecttoor;1173
Subjest;1173
Subordinate;1174
Subordinated;1174
Subscribed;1175
Subscriber;1176
Subscribers;1176
Subscription;1177
Subscriptions;1177
Subscriptions1;1177
Subsidaries;1178
Subsidiares;1178
Subsidiaries;1178
Subsidiariesand;1178
Subsidiary;1178
Subsidiary48.2;1178
Subsidiaryin;1178
Subsidiarys;1178
Subsidies;1179
Subsidy;1179
Subsrciption;1177
Subsription;1177
Substantial;1180
Substantially;1180
Substantive;1180
Success;1181
Successful;1181
Sum;1182
Summarized;1183
Summary;1184
Supervision;1185
Supervisory;1185
Supplement;1186
Supplemental;1186
Supplementary;1186
Supplements;1186
Supplier;1187
Suppliers;1187
Supplies;1188
Supply;1188
Supplyand;1188
Support;1189
Supportand;1189
Supporting;1189
Surcharge;1190
Surcharges;1190
Surety;1191
Surplus;1192
Surrender;1193
Surrendered;1193
Surrenderof;1193
Surrenders;1193
Surrendured;1193
Survey;1194
Suspended;1195
Suspension;1195
Swap;1196
Swaps;1196
Swapsand;1196
Swaption;1197
Swaptions;1197
Syndicated;1198
Syndication;1199
Syndications;1199
System;1200
Systems;1200
Takeover;1201
Tangible;1202
Tangibles;1202
Tax;1203
Tax1;1203
Taxable;1204
Taxand;1203
Taxation;1203
Taxes;1203
Taxes1;1203
Taxesand;1203
Taxeson;1203
Taxesrelatedtothesaleof;1203
Taxfor;1203
Taxfrom;1203
Taxother;1203
Taxprovisionbenefit;115
Taxwith;1203
Tconversion;244
Technologies;1205
Technologies1;1205
Technology;1205
Technologyand;1205
Technologyandsalestype;1205
Tem;1209
Tempoarary;1207
Temporarily;1206
Temporary;1207
Tender;1208
Tendered;1208
Term;1209
Term1;1209
Termand;1209
Termf;1209
Terminantion;1213
Terminate;1210
Terminated;1211
Terminating;1212
Termination;1213
Terminationand;1213
Terminationof;1213
Terminations;1213
Terminationsof;1213
Terms;1209
Texpense;441
Than;1214
Than100;1214
Than100000;1214
Than250000;1214
Than2500000;1214
Than90;1214
That;1215
Through;1216
Time;1217
Timeshare;1218
Total;1219
Toward;1220
Towards;1220
Trade;1221
Tradeand;1221
Traded;1222
Trademark;1223
Trademarks;1223
Trademarksand;1223
Tradename;1224
Tradenames;1224
Trades;1221
Tradiing;1225
Trading;1225
Tranche;1226
Transaction;1227
Transactional;1228
Transactionand;1227
Transactions;1227
Transactionsand;1227
Transactionswith;1227
Transfer;1229
Transferand;1229
Transferandnon;1229
Transferedto;1231
Transferee;1230
Transferfrom;1229
Transferof;1229
Transferor;1229
Transferors;1229
Transferred;1231
Transferred1;1231
Transferredfrom;1231
Transferredin;1231
Transferredon;1231
Transferredto;1231
Transferring;1229
Transfers;1229
Transfersand;1229
Transfersfrom;1229
Transfersof;1229
Transfersto;1229
Transferto;1229
Transfertofrom;1229
Transit;1232
Transitand;1232
Transition;1233
Transitional;1234
Transitionand;1233
Transitory;1234
Translatedat;1235
Translatio;1235
Translation;1235
Translationadjustmentnettaxexcludingamountsreclassifiedfrom;28
Translationadjustments;28
Translational;1235
Translationand;1235
Translationexcluding;1235
Transmission;1236
Transmissionand;1236
Transport;1237
Transportation;1237
Trasfers;1229
Treasury;1238
Trust;1239
Trustand;1239
Trustatseparation;1239
Trustee;1240
Trustees;1240
Trusts;1239
Type;1241
Unallocated;1242
Unbilled;1243
Unbilledand;1243
Uncertain;1244
Uncertainties;1244
Uncertaintyin;1244
Uncollected;1245
Uncollectibility;1245
Uncollectible;1245
Uncompleted;1246
Unconditional;1247
Unconsolidated;1248
Unconsolidateded;1248
Under;1249
Under250000;1249
Underagreements;42
Underlying;1250
Underwriter;1251
Underwriters;1251
Underwriting;1252
Underwritten;1253
Underwritting;1253
Unearned;1254
Unfunded;1255
Unit;1256
Unitbased;1256
Units;1256
Unitsand;1256
Unitsin;1256
Unitsto;1256
Universal;1257
Unlimited;1258
Unobservable;1259
Unpaid;1260
Unrealized;1261
Unrealized2;1261
Unrealizedand;1261
Unrecognized;1262
Unused;1263
Upfront;1264
Upon;1265
Usage;1266
Use;1267
Used;1268
Usedin;1268
Useof;1267
Usesfrom;1267
Using;1269
Valorem;1270
Valuation;1271
Valuationadjustmentforroyaltyliability;676
Valuationof;1271
Valuations;1271
Valuationsof;1271
Value;1272
Value.0001;1272
Value0.00001.10000000;1272
Value0.001280000000;1272
Value01010000000;1272
Value1;1272
Value10000;1272
Value100000;1272
Value1000000;1272
Value15000;1272
Value160000;1272
Value200000;1272
Value2000000;1272
Value240000;1272
Value250;1272
Value25000;1272
Value2550;1272
Value3000000;1272
Value30000000;1272
Value300000000;1272
Value310000;1272
Value375000;1272
Value5000;1272
Value50000;1272
Value500000;1272
Value600000;1272
Value601230;1272
Value7150000;1272
Value850;1272
Valueadded;1272
Valueand;1272
Valued;1273
Valuefor;1272
Valuefrom;1272
Valueof;1272
Valueon;1272
Values;1272
Valuesof;1272
Variable;1274
Variation;1275
Vendor;1276
Vendors;1276
Venezuelaimpairmentcharges;179
Venezuelaimpairmentchargesaftertax;179
Venture;1277
Ventureor;1277
Ventures;1277
Vested;1278
Vested2;1278
Vesting;1279
Vestingof;1279
Vestings;1279
Via;1280
Volume;1281
Volumetric;1282
Voting;1283
Wages;1284
Wages3;1284
Waived;1285
Waiver;1286
Waivers;1286
Warran;1287
Warrant;1287
Warranties;1288
Warrants;1287
Warrants1;1287
Warrants2;1287
Warrantsand;1287
Warrantsfor;1287
Warranty;1288
Warraty;1288
Warrenties;1288
Warrnaty;1288
Weighted;1290
Which;1291
Whole;1292
Wholesale;1293
Wholesaleand;1293
Wholesaling;1293
With;1294
With12;1294
Withdrawal;1295
Withdrawalfor;1295
Withdrawals;1295
Withdrawl;1295
Withdrawn;1296
Withheld;1297
Withheld1;1297
Withholding;1298
Withholdingfor;1298
Withholdings;1298
Withholdingson;1298
Within;1299
Witholding;1298
Without;1300
Work;1301
Workers;1303
Workforce;1304
Workin;1305
Working;1305
Write;1306
Write-;1306
Writedown;1307
Writedownand;1307
Writedownof;1307
Writedowns;1307
Writen;1308
Writeoff;1308
Writeoff1;1308
Writeofffor;1308
Writeoffof;1308
Writeoffs;1308
Writeoffsof;1308
Written;1309
Writtenoff;1308
Wrtite;1308
Year;1310
Year1;1310
Years;1310
Years1;1310
Yet;1311
Yield;1312
Aand;56
Abandon;2
Abandoned;2
Abandonment;2
Abandonments;2
Abondment;2
Absorbed;3
Absorbent;3
